,ID_REUNION,TIEMPO_inicio,TIPO_EVENTO_inicio,TIEMPO_ESTIMADO_ORADOR,TIEMPO_fin,TIPO_EVENTO_fin,DURACION,DIFERENCIA_ESTIMADO,DIPUTADO,BLOQUE
0,494,2025-02-12 12:19:41,INICIO_ORADOR,300,2025-02-12 12:24:35,FIN_ORADOR,4.9,-295.1,Diputado 01,Bloque 01
1,494,2025-02-12 22:35:05,INICIO_ORADOR,300,2025-02-12 22:41:07,FIN_ORADOR,6.033333333333333,-293.96666666666664,Diputado 02,Bloque 02
2,494,2025-02-12 14:49:36,INICIO_ORADOR,420,2025-02-12 14:59:42,FIN_ORADOR,10.1,-409.9,Diputado 03,Bloque 03
3,494,2025-02-12 15:53:36,INICIO_ORADOR,480,2025-02-12 16:02:29,FIN_ORADOR,8.883333333333333,-471.1166666666667,Diputado 04,Bloque 02
4,494,2025-02-12 18:05:37,INICIO_ORADOR,300,2025-02-12 18:12:12,FIN_ORADOR,6.583333333333333,-293.4166666666667,Diputado 05,Bloque 03
5,494,2025-02-12 13:01:44,INICIO_ORADOR,300,2025-02-12 13:03:11,FIN_ORADOR,1.45,-298.55,Diputado 06,Bloque 04
6,494,2025-02-12 22:10:32,INICIO_ORADOR,300,2025-02-12 22:18:35,FIN_ORADOR,8.05,-291.95,Diputado 07,Bloque 02
7,494,2025-02-12 17:33:19,INICIO_ORADOR,300,2025-02-12 17:37:56,FIN_ORADOR,4.616666666666666,-295.3833333333333,Diputado 08,Bloque 05
8,494,2025-02-12 10:52:43,INICIO_ORADOR,300,2025-02-12 10:55:56,FIN_ORADOR,3.216666666666667,-296.78333333333336,Diputado 09,Bloque 05
9,494,2025-02-12 11:42:24,INICIO_ORADOR,300,2025-02-12 11:49:50,FIN_ORADOR,7.433333333333334,-292.56666666666666,Diputado 10,Bloque 02
10,494,2025-02-12 11:42:24,INICIO_ORADOR,300,2025-02-12 11:57:48,FIN_ORADOR,15.4,-284.6,Diputado 10,Bloque 02
12,494,2025-02-12 11:56:20,INICIO_ORADOR,180,2025-02-12 11:57:48,FIN_ORADOR,1.4666666666666666,-178.53333333333333,Diputado 10,Bloque 02
13,494,2025-02-12 11:13:54,INICIO_ORADOR,300,2025-02-12 11:14:03,PAUSA_ORADOR,0.15,-299.85,Diputado 11,Bloque 06
14,494,2025-02-12 11:13:54,INICIO_ORADOR,300,2025-02-12 11:19:25,FIN_ORADOR,5.516666666666667,-294.48333333333335,Diputado 11,Bloque 06
15,494,2025-02-12 11:13:54,INICIO_ORADOR,300,2025-02-12 14:49:29,FIN_ORADOR,215.58333333333334,-84.41666666666666,Diputado 11,Bloque 06
16,494,2025-02-12 11:13:54,INICIO_ORADOR,300,2025-02-12 22:03:02,FIN_ORADOR,649.1333333333333,349.1333333333333,Diputado 11,Bloque 06
18,494,2025-02-12 11:14:10,INICIO_ORADOR,300,2025-02-12 11:19:25,FIN_ORADOR,5.25,-294.75,Diputado 11,Bloque 06
19,494,2025-02-12 11:14:10,INICIO_ORADOR,300,2025-02-12 14:49:29,FIN_ORADOR,215.31666666666666,-84.68333333333334,Diputado 11,Bloque 06
20,494,2025-02-12 11:14:10,INICIO_ORADOR,300,2025-02-12 22:03:02,FIN_ORADOR,648.8666666666667,348.8666666666667,Diputado 11,Bloque 06
23,494,2025-02-12 14:43:32,INICIO_ORADOR,300,2025-02-12 14:49:29,FIN_ORADOR,5.95,-294.05,Diputado 11,Bloque 06
24,494,2025-02-12 14:43:32,INICIO_ORADOR,300,2025-02-12 22:03:02,FIN_ORADOR,439.5,139.5,Diputado 11,Bloque 06
28,494,2025-02-12 21:58:46,INICIO_ORADOR,300,2025-02-12 22:03:02,FIN_ORADOR,4.266666666666667,-295.73333333333335,Diputado 11,Bloque 06
29,494,2025-02-12 22:41:42,INICIO_ORADOR,300,2025-02-12 22:41:50,PAUSA_ORADOR,0.13333333333333333,-299.8666666666667,Diputado 12,Bloque 02
30,494,2025-02-12 22:41:42,INICIO_ORADOR,300,2025-02-12 22:45:34,FIN_ORADOR,3.8666666666666667,-296.1333333333333,Diputado 12,Bloque 02
32,494,2025-02-12 22:41:57,INICIO_ORADOR,300,2025-02-12 22:45:34,FIN_ORADOR,3.6166666666666667,-296.3833333333333,Diputado 12,Bloque 02
33,494,2025-02-12 18:00:32,INICIO_ORADOR,300,2025-02-12 18:05:32,FIN_ORADOR,5.0,-295.0,Diputado 13,Bloque 02
34,494,2025-02-12 17:25:56,INICIO_ORADOR,300,2025-02-12 17:33:14,FIN_ORADOR,7.3,-292.7,Diputado 14,Bloque 02
35,494,2025-02-12 12:43:37,INICIO_ORADOR,300,2025-02-12 12:49:37,FIN_ORADOR,6.0,-294.0,Diputado 15,Bloque 02
36,494,2025-02-12 12:43:37,INICIO_ORADOR,300,2025-02-12 17:44:32,FIN_ORADOR,300.9166666666667,0.9166666666666856,Diputado 15,Bloque 02
38,494,2025-02-12 17:38:04,INICIO_ORADOR,300,2025-02-12 17:44:32,FIN_ORADOR,6.466666666666667,-293.53333333333336,Diputado 15,Bloque 02
39,494,2025-02-12 15:28:26,INICIO_ORADOR,300,2025-02-12 15:35:20,FIN_ORADOR,6.9,-293.1,Diputado 16,Bloque 05
40,494,2025-02-12 19:50:43,INICIO_ORADOR,300,2025-02-12 19:55:23,FIN_ORADOR,4.666666666666667,-295.3333333333333,Diputado 17,Bloque 02
41,494,2025-02-12 21:18:55,INICIO_ORADOR,300,2025-02-12 21:29:28,FIN_ORADOR,10.55,-289.45,Diputado 18,Bloque 02
42,494,2025-02-12 15:40:18,INICIO_ORADOR,300,2025-02-12 15:47:43,FIN_ORADOR,7.416666666666667,-292.5833333333333,Diputado 19,Bloque 04
43,494,2025-02-12 10:47:34,INICIO_ORADOR,300,2025-02-12 10:52:34,FIN_ORADOR,5.0,-295.0,Diputado 20,Bloque 02
44,494,2025-02-12 10:47:34,INICIO_ORADOR,300,2025-02-12 20:14:21,FIN_ORADOR,566.7833333333333,266.7833333333333,Diputado 20,Bloque 02
